title,price,quantity,store,availability,primaryProductId,category,longSku,rollback,productType,storeName,storeAddress,storeCity,strikethrough,upc,usItemId,storePostalCode,storeStateOrProvinceCode,reducedPrice,clearance,wupc
Google Chromecast 3rd Gen - NEW,35.0,In stock,3,AVAILABLE,2279A06GN55K,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Google Chromecast,00842776106131,False,Streaming Media Players,Commerce Supercenter,30983 Highway 441 S,Commerce,False,842776106131,435188866,30529,GA,False,False,
Merge Cube,14.97,Out of stock,3,NOT_AVAILABLE,7CP1XCIIM2XG,"Home Page/Video Games/Video Game Accessories/Accessories for Nintendo, PC, Xbox and PlayStation Systems",ARC-01,False,Video Game Accessories,Commerce Supercenter,30983 Highway 441 S,Commerce,False,854590007105,968302018,30529,GA,False,False,0085459000710
Google Chromecast Ultra,69.0,Limited stock,3,AVAILABLE,65O1BZRUJB52,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Google Home Products",GA3A00403A14,False,Streaming Media Players,Commerce Supercenter,30983 Highway 441 S,Commerce,False,811571018284,54742301,30529,GA,False,False,0081157101828
Roku Express+ HD WITH $35 CREDIT TOWARDS SLING TV AND 30-DAY FREE TRIAL OF SHOWTIME,35.0,In stock,3,AVAILABLE,3PVD2LOF3Y40,Home Page/Electronics/Home Audio & Theater/Home Theater/Media Players & Recorders/Roku,3910RW,False,Streaming Media Players,Commerce Supercenter,30983 Highway 441 S,Commerce,False,829610001890,369278616,30529,GA,False,False,0082961000189
HP DeskJet 2622 All-in-One Printer,49.0,Out of stock,7,NOT_AVAILABLE,7GJGB3FPIQSK,Home Page/Shop by Brand/Electronics by Brand/HP/HP Printers,V1N07A#1H5,False,Printers & All-in-Ones,Sherwood Supercenter,9053 Highway 107,Sherwood,False,191628246861,356481772,72120,AR,False,False,0019162824686
Onn 6Ft HDMICable,2.12,Out of stock,3,NOT_AVAILABLE,6WEJK59UQZCZ,Home Page/Electronics/Computers/Computer Accessories/Computer Cables & Connectors,00681131097727,False,Audio/Video Cables,Commerce Supercenter,30983 Highway 441 S,Commerce,False,681131097727,38236250,30529,GA,False,True,0068113109772
"Google Smart TV Kit: Google Home Mini and Chromecast, Walmart Exclusive",74.0,Out of stock,3,NOT_AVAILABLE,311DOR9N5O2E,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Smart Home Assistants & Voice Control/Smart Home Assistants",00842776107244,False,Home Assistants,Commerce Supercenter,30983 Highway 441 S,Commerce,False,842776107244,719650769,30529,GA,False,False,
"Onn Tilting TV Wall Mount Kit for 24"" to 84"" TVs with HDMI Cable (ONA16TM013E)",19.99,Out of stock,3,NOT_AVAILABLE,64K2BT2GINHG,Home Page/Electronics/TV & Video/TV Accessories/TV Mounts,00681131134477,True,TV & Monitor Mounts,Commerce Supercenter,30983 Highway 441 S,Commerce,False,681131134477,55836007,30529,GA,False,False,0068113113447
"Full Motion TV Wall Mount 10-50"" TVs w/Tilt, Swivel Articulating Arm, HDMI Cable",12.99,Out of stock,3,NOT_AVAILABLE,5S72CY9R1Y2V,Home Page/Electronics/TV & Video/TV Accessories/TV Mounts,00681131118958,False,TV & Monitor Mounts,Commerce Supercenter,30983 Highway 441 S,Commerce,False,681131118958,45162260,30529,GA,False,True,0068113111895
Google Home,129.0,In stock,3,AVAILABLE,3OQDZH4PNG0Q,"Home Page/Electronics/Smart Home/Smart Home Assistants, Controllers & Hubs/Google Home Products",00811571018420,False,Home Assistants,Commerce Supercenter,30983 Highway 441 S,Commerce,False,811571018420,54742302,30529,GA,False,False,0081157101842
