skuVal,title,price,quantity,store,availability,primaryProductId,category,longSku,rollback,productType,storeName,storeAddress,storeCity,strikethrough,upc,usItemId,storePostalCode,storeStateOrProvinceCode,reducedPrice,clearance,wupc
35433684,Dove Antiperspirant Deodorant Beauty Finish 2.6 oz,4.46,Limited stock,2265,AVAILABLE,1UO9V8RUE3PS,Home Page/Personal Care/Deodorants & Antiperspirants,35293,False,Deodorants & Antiperspirants,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,079400352934,35433684,29680,SC,False,False,0007940035293
10533460,"Sulfur8 Original Formula Anti-Dandruff Hair & Scalp Conditioner, 4 oz",4.84,In stock,2265,AVAILABLE,1HB2UT2JT4G6,Home Page/Beauty/Hair Care/Dandruff Conditioner,43110,False,Conditioners,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,075610431100,10533460,29680,SC,False,False,0007561043110
19663205,"Lysol To Go Disinfectant Spray, Crisp Linen, 1oz",2.17,In stock,2265,AVAILABLE,6DFJAXGDR4SI,Home Page/Household Essentials/Air Fresheners/Spray Air Freshener,UPC;019200791328,False,Air Fresheners,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,019200791328,19663205,29680,SC,False,False,0001920079132
634865552,,5.01,Unknown,2265,AVAILABLE,3G37LNHI4T1Z,,,False,Packaged Meals,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,078742013183,22734174,29680,SC,False,False,0007874201318
11046837,"Jovan White Musk, Cologne for Women, 2.0 oz",13.98,Limited stock,2265,AVAILABLE,1GMLVWG16EGO,Home Page/Beauty/Fragrances/Women's Fragrances,00035017008978,False,Perfumes & Colognes,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,035017008978,11046837,29680,SC,False,False,0003501700897
10324477,"Equate Extra Strength Acetaminophen Caplets, 500 mg, 100 Ct 2 Pk",3.82,In stock,2265,AVAILABLE,1449L5ZECZLC,Home Page/Health/Medicine Cabinet/Pain Relievers,A5586,False,Over-the-Counter Medicines,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,681131700047,10324477,29680,SC,False,False,0068113170004
324030847,,8.18,Unknown,2265,AVAILABLE,7J8SRMEFQ87B,,,False,Packaged Breakfast Cereals,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,038000143939,47725948,29680,SC,False,False,0003800014393
902695899,,4.23,Unknown,2265,AVAILABLE,1N13ER9G1G1W,,,False,Snack Crackers,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,030100487180,19757484,29680,SC,False,False,0003010048718
186810752,"Storex Classroom Caddy, Assorted Colors,(6 units/pack)",10.19,Limited stock,2265,AVAILABLE,1SNAAIBHLB4J,Home Page/Home/Storage & Organization/Storage/Plastic Storage Boxes,00940U06C,False,Storage Chests & Boxes,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,685442009400,186810752,29680,SC,False,False,0068544200940
760128866,Love Beauty And Planet Radical Refresher Body Wash Coconut Water & Mimosa Flower 16 oz,6.98,Limited stock,2265,AVAILABLE,6XH0Z753M0NC,Home Page/Personal Care/Bath & Body/Body Wash & Shower Gel,00043,False,Body Washes & Shower Gels,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,055086000437,760128866,29680,SC,False,False,0005508600043
893258,"Caltrate Bone Health 600+D3 Calcium Tablets, 60 Ct",7.97,Limited stock,2265,AVAILABLE,1WMDA16PI7QT,Home Page/Health/Vitamins & Supplements/Minerals/Minerals,00300055509191,False,Mineral Supplements,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,300055509191,893258,29680,SC,False,False,0030005550919
20553485,"Write Dudes USA Gold Premium Cedar Pre-Sharpened Pencils, #2 Yellow, 24-Count",3.97,In stock,2265,AVAILABLE,60P8LJ6MMCAT,Home Page/Walmart for Business/Writing Supplies for Business/Pencils/Wooden Pencils,00072348410551,False,Pencils,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,072348410551,20553485,29680,SC,False,False,0007234841055
39405707,"(2 Pack) Gerber Lil' Entrees, Yellow Rice and Chicken with Vegetables in Sauce with Green Beans and Carrots 6.67 oz. Tray",3.82,Unknown,2265,AVAILABLE,25GQSKFW98P9,"Home Page/Food/Meal Solutions, Grains & Pasta/Boxed Meals",2dcf58f6-8c7b-43cc-8f64-92320b4bdbbf,False,Packaged Meals,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,,39405707,29680,SC,False,False,1113065077057
47228198,,8.83,Unknown,2265,AVAILABLE,6MTMZCGSTORO,,,False,"Canned, Jarred & Cup Fruits",Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,024000021834,10295156,29680,SC,False,False,0002400002183
49155919,Mainstays Steel Bench,59.99,Limited stock,2265,AVAILABLE,1KO7GFHA724E,Home Page/Patio & Garden/Patio Furniture/Outdoor Benches/Metal Benches,00848681049099,True,Outdoor Benches,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,848681049099,49155919,29680,SC,False,False,0084868104909
597163187,,8.97,Limited stock,2265,AVAILABLE,53NXMUVJALPY,,,False,Socks,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,014614299682,990058305,29680,SC,False,False,0001461429968
13071859,"PreserVision AREDS Lutein Eye Vitamin & Mineral Supplement, Beta-Carotene Free, Soft Gels, 120 ct",20.22,Limited stock,2265,AVAILABLE,29K3JSTC8UDI,Home Page/Health/Vitamins & Supplements/Minerals/Minerals,00324208632116,False,Vitamins & Supplements,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,324208632116,13071859,29680,SC,False,False,0032420863211
47243395,"(3 Pack) Pace Medium Picante Sauce, 16 oz.",5.66,Unknown,2265,AVAILABLE,6ZWZA52DJ6N8,"Home Page/Food/Snacks, Cookies & Chips/Dips & Spreads",6ede0686-a011-414b-9661-b5b0aa231ad8,False,Salsas,Simpsonville Supercenter,3950 Grandview Dr,Simpsonville,False,,47243395,29680,SC,False,False,
